"","scenarioID","model","nIteration","pos","ratePos","mEs","nA","nB","nEff","sampleSize","samplePrior","p1","p2","p3","marginColiVBAT"
"127","scenario212","bayesglm",1460,943,0.645890410958904,-0.0297562325823505,174.88698630137,94.7993150684931,269.686301369863,340,300,0.4,"0.37",0.4,"-0.03"
"128","scenario213","bayesglm",1460,971,0.665068493150685,-0.0287789914352221,185.654109589041,99.5157534246575,285.169863013699,360,300,0.4,"0.37",0.4,"-0.03"
"129","scenario214","bayesglm",1460,1008,0.69041095890411,-0.0286711202538433,195.36095890411,105.734931506849,301.095890410959,380,300,0.4,"0.37",0.4,"-0.03"
"130","scenario215","bayesglm",1460,1057,0.723972602739726,-0.0329075416223957,205.668493150685,111.598630136986,317.267123287671,400,300,0.4,"0.37",0.4,"-0.03"
"131","scenario216","bayesglm",1460,1083,0.741780821917808,-0.0307459831409054,216.26095890411,116.502739726027,332.763698630137,420,300,0.4,"0.37",0.4,"-0.03"
"132","scenario217","bayesglm",1460,1092,0.747945205479452,-0.0281162335864769,226.456849315068,122.293835616438,348.750684931507,440,300,0.4,"0.37",0.4,"-0.03"
"133","scenario218","bayesglm",1460,1118,0.765753424657534,-0.0297349446029771,237.090410958904,127.661643835616,364.752054794521,460,300,0.4,"0.37",0.4,"-0.03"
"134","scenario219","bayesglm",1460,1159,0.793835616438356,-0.0324656183601137,247.638356164384,132.965753424658,380.604109589041,480,300,0.4,"0.37",0.4,"-0.03"
"135","scenario22","bayesglm",1460,81,0.0554794520547945,0.0997758107770622,318.829452054795,172.155479452055,490.984931506849,620,300,0.4,"0.5",0.4,"0.1"
"136","scenario220","bayesglm",1460,1162,0.795890410958904,-0.0302031364093447,257.623287671233,138.843835616438,396.467123287671,500,300,0.4,"0.37",0.4,"-0.03"
"137","scenario221","bayesglm",1460,1176,0.805479452054795,-0.0298877790207503,268.325342465753,144.13904109589,412.464383561644,520,300,0.4,"0.37",0.4,"-0.03"
"138","scenario222","bayesglm",1460,1207,0.826712328767123,-0.0321118824052297,278.234246575342,149.601369863014,427.835616438356,540,300,0.4,"0.37",0.4,"-0.03"
"139","scenario223","bayesglm",1460,1221,0.836301369863014,-0.0314813656906256,288.173287671233,155.469863013699,443.643150684931,560,300,0.4,"0.37",0.4,"-0.03"
"140","scenario224","bayesglm",1460,1241,0.85,-0.0315686512008808,298.265753424658,161.420547945205,459.686301369863,580,300,0.4,"0.37",0.4,"-0.03"
"141","scenario225","bayesglm",1460,1252,0.857534246575342,-0.0285287318322824,308.284246575342,166.867123287671,475.151369863014,600,300,0.4,"0.37",0.4,"-0.03"
"142","scenario226","bayesglm",1460,1255,0.85958904109589,-0.0285075335805213,319.881506849315,171.562328767123,491.443835616438,620,300,0.4,"0.37",0.4,"-0.03"
"143","scenario227","bayesglm",1460,1268,0.868493150684931,-0.0294984149696862,329.582876712329,177.673287671233,507.256164383562,640,300,0.4,"0.37",0.4,"-0.03"
"144","scenario228","bayesglm",1460,1281,0.877397260273973,-0.0320597012714787,339.46301369863,183.447945205479,522.91095890411,660,300,0.4,"0.37",0.4,"-0.03"
"145","scenario229","bayesglm",1460,1315,0.900684931506849,-0.0319365401928415,350.038356164384,188.540410958904,538.578767123288,680,300,0.4,"0.37",0.4,"-0.03"
"146","scenario23","bayesglm",1460,64,0.0438356164383562,0.101030088838634,329.167808219178,177.621232876712,506.78904109589,640,300,0.4,"0.5",0.4,"0.1"
"147","scenario230","bayesglm",1460,1304,0.893150684931507,-0.0305996271740177,360.734931506849,194.196575342466,554.931506849315,700,300,0.4,"0.37",0.4,"-0.03"
"148","scenario231","bayesglm",1460,1336,0.915068493150685,-0.0320800238778191,370.58904109589,200.393150684931,570.982191780822,720,300,0.4,"0.37",0.4,"-0.03"
"149","scenario232","bayesglm",1460,1344,0.920547945205479,-0.0307940139097492,380.689726027397,205.129452054795,585.819178082192,740,300,0.4,"0.37",0.4,"-0.03"
"150","scenario233","bayesglm",1460,1346,0.921917808219178,-0.0316185367418033,392.145890410959,210.221232876712,602.367123287671,760,300,0.4,"0.37",0.4,"-0.03"
"151","scenario234","bayesglm",1460,1335,0.914383561643836,-0.0289519788122351,401.649315068493,216.456164383562,618.105479452055,780,300,0.4,"0.37",0.4,"-0.03"
"152","scenario235","bayesglm",1460,1363,0.933561643835616,-0.0309753783150398,412.104794520548,221.891780821918,633.996575342466,800,300,0.4,"0.37",0.4,"-0.03"
"153","scenario236","bayesglm",1460,1363,0.933561643835616,-0.0307973394504491,421.681506849315,228.027397260274,649.708904109589,820,300,0.4,"0.37",0.4,"-0.03"
"154","scenario237","bayesglm",1460,1373,0.94041095890411,-0.0311680103252249,432.678767123288,233.124657534247,665.803424657534,840,300,0.4,"0.37",0.4,"-0.03"
"155","scenario238","bayesglm",1460,1393,0.954109589041096,-0.0299002590951631,442.42602739726,239.056164383562,681.482191780822,860,300,0.4,"0.37",0.4,"-0.03"
"156","scenario239","bayesglm",1460,1390,0.952054794520548,-0.0299570127610194,453.658904109589,243.575342465753,697.234246575342,880,300,0.4,"0.37",0.4,"-0.03"
"157","scenario24","bayesglm",1460,72,0.0493150684931507,0.100420061571102,339.945890410959,183.070547945205,523.016438356164,660,300,0.4,"0.5",0.4,"0.1"
"158","scenario240","bayesglm",1460,1371,0.939041095890411,-0.0279895187492913,463.792465753425,249.321232876712,713.113698630137,900,300,0.4,"0.37",0.4,"-0.03"
"159","scenario241","bayesglm",1460,1401,0.95958904109589,-0.0315240658954733,473.654794520548,255.297945205479,728.952739726027,920,300,0.4,"0.37",0.4,"-0.03"
"160","scenario242","bayesglm",1460,1400,0.958904109589041,-0.0306148216837914,485.328767123288,260.167808219178,745.496575342466,940,300,0.4,"0.37",0.4,"-0.03"
"161","scenario243","bayesglm",1460,1400,0.958904109589041,-0.0289331703501719,494.46301369863,266.497260273973,760.960273972603,960,300,0.4,"0.37",0.4,"-0.03"
"162","scenario244","bayesglm",1460,1399,0.958219178082192,-0.0303898398339331,504.21095890411,272.319178082192,776.530136986301,980,300,0.4,"0.37",0.4,"-0.03"
"163","scenario245","bayesglm",1460,1414,0.968493150684931,-0.0296858499960213,514.974657534247,277.629452054795,792.604109589041,1000,300,0.4,"0.37",0.4,"-0.03"
"164","scenario246","bayesglm",1460,1411,0.966438356164384,-0.0318283249592995,524.744520547945,283.703424657534,808.447945205479,1020,300,0.4,"0.37",0.4,"-0.03"
"165","scenario247","bayesglm",1460,1406,0.963013698630137,-0.0290257061125158,535.194520547945,288.858904109589,824.053424657534,1040,300,0.4,"0.37",0.4,"-0.03"
